oracID_x,tipo_x,palabra_x,palNum,pred_x,logit_pred_x,nCompletadas_x,oracID_y,oracID_orig,tipo_y,palabra_y,pred_y,logit_pred_y,nCompletadas_y
68,1,mal,5,0.3,-0.3679767852945944,40.0,288,68,1,mal,0.18421052631578946,-0.6462636538200158,38.0
68,1,que,6,1.0,1.8976270912904432,40.0,288,68,1,que,0.9736842105263158,1.5682017240669954,38.0
68,1,por,7,0.825,0.6734158998636305,40.0,288,68,1,por,0.9473684210526316,1.2552725051033056,38.0
68,1,bien,8,0.925,1.0910804693473328,40.0,288,68,1,bien,0.9736842105263158,1.5682017240669954,38.0
68,1,no,9,0.975,1.5910646070264989,40.0,288,68,1,no,0.9473684210526316,1.2552725051033056,38.0
68,1,venga,10,0.975,1.5910646070264989,40.0,288,68,1,venga,1.0,1.8750612633916988,38.0
69,1,Tomó,0,,,,289,69,1,Tomó,,,
69,1,la,1,0.16216216216216214,-0.713210443450629,37.0,289,69,1,la,0.10810810810810813,-0.9164539485499252,37.0
69,1,guitarra,2,0.027027027027027032,-1.5563025007672873,37.0,289,69,1,guitarra,0.0,-1.863322860120456,37.0
69,1,y,3,0.8648648648648649,0.8061799739838874,37.0,289,69,1,y,0.8648648648648649,0.8061799739838874,37.0
69,1,recitó:,4,0.054054054054054064,-1.2430380486862944,37.0,289,69,1,recitó:,0.0,-1.863322860120456,37.0
69,1,Caminante,5,0.0,-1.863322860120456,37.0,289,69,1,Caminante,0.0,-1.863322860120456,37.0
69,1,no,6,0.7567567567567568,0.4929155219028945,37.0,289,69,1,no,0.6756756756756757,0.3187587626244127,37.0
69,1,hay,7,0.8108108108108109,0.6320232147054058,37.0,289,69,1,hay,0.7297297297297297,0.4313637641589873,37.0
69,1,camino,8,0.7297297297297297,0.4313637641589873,37.0,289,69,1,camino,0.7567567567567568,0.4929155219028945,37.0
69,1,se,9,0.7567567567567568,0.4929155219028945,37.0,289,69,1,se,0.7027027027027027,0.37358066281259306,37.0
69,1,hace,10,0.8108108108108109,0.6320232147054058,37.0,289,69,1,hace,0.7567567567567568,0.4929155219028945,37.0
69,1,camino,11,0.7837837837837838,0.5593080109070124,37.0,289,69,1,camino,0.7297297297297297,0.4313637641589873,37.0
69,1,al,12,0.8378378378378378,0.713210443450629,37.0,289,69,1,al,0.8378378378378378,0.713210443450629,37.0
69,1,andar,13,0.8648648648648649,0.8061799739838874,37.0,289,69,1,andar,0.8648648648648649,0.8061799739838874,37.0
70,1,Marina,0,,,,290,70,1,Marina,,,
70,1,les,1,0.0,-1.8864907251724816,39.0,290,70,1,les,0.0,-1.7075701760979365,26.0
70,1,advirtió:,2,0.02564102564102564,-1.57978359661681,39.0,290,70,1,advirtió:,0.038461538461538464,-1.3979400086720375,26.0
70,1,Al,3,0.0,-1.8864907251724816,39.0,290,70,1,Al,0.0,-1.7075701760979365,26.0
70,1,que,4,0.3333333333333333,-0.30102999566398125,39.0,290,70,1,que,0.3461538461538461,-0.2762064119389491,26.0
70,1,quiere,5,0.0,-1.8864907251724816,39.0,290,70,1,quiere,0.0,-1.7075701760979365,26.0
70,1,celeste,6,0.6923076923076923,0.3521825181113625,39.0,290,70,1,celeste,0.5,0.0,26.0
70,1,que,7,0.9230769230769232,1.0791812460476249,39.0,290,70,1,que,0.9615384615384616,1.397940008672038,26.0
70,1,le,8,0.9487179487179488,1.2671717284030135,39.0,290,70,1,le,0.9615384615384616,1.397940008672038,26.0
70,1,cueste,9,0.9230769230769232,1.0791812460476249,39.0,290,70,1,cueste,0.8846153846153846,0.8846065812979302,26.0
71,1,La,0,,,,291,71,1,La,,,
71,1,compañera,1,0.0,-1.8976270912904412,40.0,291,71,1,compañera,0.0,-1.8976270912904412,40.0
71,1,reconoció,2,0.0,-1.8976270912904412,40.0,291,71,1,reconoció,0.025,-1.5910646070264989,40.0
