id_orac_online,tipo_orac,tipo_orac_new,palabra,palNum,pred,logit_pred,nCompletadas
37,0,0,mata,4,0.8333333333333334,0.698970004336019,12.0
37,0,0,a,5,0.9166666666666666,1.041392685158225,12.0
37,0,0,hierro,6,0.9166666666666666,1.041392685158225,12.0
37,0,0,muere,7,0.9166666666666666,1.041392685158225,12.0
38,0,0,Tanto,0,,,
38,0,0,va,1,0.5833333333333334,0.14612803567823807,12.0
38,0,0,el,2,0.9166666666666666,1.041392685158225,12.0
38,0,0,cántaro,3,0.8333333333333334,0.698970004336019,12.0
38,0,0,a,4,0.75,0.47712125471966244,12.0
38,0,0,la,5,0.6666666666666666,0.30102999566398114,12.0
38,0,0,fuente,6,0.9166666666666666,1.041392685158225,12.0
38,0,0,que,7,0.9166666666666666,1.041392685158225,12.0
38,0,0,al,8,0.5833333333333334,0.14612803567823807,12.0
38,0,0,final,9,0.6666666666666666,0.30102999566398114,12.0
38,0,0,se,10,0.9166666666666666,1.041392685158225,12.0
38,0,0,rompe,11,0.9166666666666666,1.041392685158225,12.0
39,0,0,Aunque,0,,,
39,0,0,la,1,0.08333333333333333,-1.041392685158225,12.0
39,0,0,mona,2,0.16666666666666666,-0.6989700043360189,12.0
39,0,0,se,3,0.9166666666666666,1.041392685158225,12.0
39,0,0,vista,4,0.9166666666666666,1.041392685158225,12.0
39,0,0,de,5,0.8333333333333334,0.698970004336019,12.0
39,0,0,seda,6,0.9166666666666666,1.041392685158225,12.0
39,0,0,mona,7,0.9166666666666666,1.041392685158225,12.0
39,0,0,queda,8,0.5833333333333334,0.14612803567823807,12.0
40,0,0,A,0,,,
40,0,0,buen,1,0.16666666666666666,-0.6989700043360189,12.0
40,0,0,entendedor,2,1.0,1.3617278360175933,12.0
40,0,0,pocas,3,0.9166666666666666,1.041392685158225,12.0
40,0,0,palabras,4,0.9166666666666666,1.041392685158225,12.0
41,0,0,El,0,,,
41,0,0,que,1,0.3333333333333333,-0.30102999566398125,12.0
41,0,0,ríe,2,0.0,-1.3617278360175928,12.0
41,0,0,último,3,0.5833333333333334,0.14612803567823807,12.0
41,0,0,ríe,4,1.0,1.3617278360175933,12.0
41,0,0,mejor,5,0.75,0.47712125471966244,12.0
42,0,0,Es,0,,,
42,0,0,mejor,1,0.08333333333333333,-1.041392685158225,12.0
42,0,0,prevenir,2,0.0,-1.3617278360175928,12.0
42,0,0,que,3,0.9166666666666666,1.041392685158225,12.0
42,0,0,curar,4,0.8333333333333334,0.698970004336019,12.0
43,0,0,No,0,,,
43,0,0,todo,1,0.0,-1.3617278360175928,12.0
43,0,0,lo,2,0.6666666666666666,0.30102999566398114,12.0
43,0,0,que,3,0.8333333333333334,0.698970004336019,12.0
43,0,0,brilla,4,0.08333333333333333,-1.041392685158225,12.0
43,0,0,es,5,1.0,1.3617278360175933,12.0
43,0,0,oro,6,1.0,1.3617278360175933,12.0
44,0,0,El,0,,,
44,0,0,ojo,1,0.0,-1.3617278360175928,12.0
44,0,0,del,2,0.75,0.47712125471966244,12.0
44,0,0,amo,3,0.6666666666666666,0.30102999566398114,12.0
44,0,0,engorda,4,0.8333333333333334,0.698970004336019,12.0
44,0,0,el,5,0.8333333333333334,0.698970004336019,12.0
44,0,0,ganado,6,0.9166666666666666,1.041392685158225,12.0
45,0,0,En,0,,,
45,0,0,todas,1,0.0,-1.3222192947339193,11.0
45,0,0,partes,2,0.09090909090909091,-1.0,11.0
45,0,0,se,3,0.7272727272727273,0.42596873227228116,11.0
45,0,0,cuecen,4,0.8181818181818182,0.6532125137753438,11.0
45,0,0,habas,5,1.0,1.3222192947339197,11.0
46,0,0,Donde,0,,,
46,0,0,manda,1,0.08333333333333333,-1.041392685158225,12.0
46,0,0,capitán,2,1.0,1.3617278360175933,12.0
46,0,0,no,3,0.9166666666666666,1.041392685158225,12.0
46,0,0,manda,4,0.9166666666666666,1.041392685158225,12.0
46,0,0,marinero,5,0.9166666666666666,1.041392685158225,12.0
47,0,0,Mal,0,,,
47,0,0,de,1,0.25,-0.4771212547196625,12.0
47,0,0,muchos,2,0.5,0.0,12.0
47,0,0,consuelo,3,0.9166666666666666,1.041392685158225,12.0
47,0,0,de,4,0.9166666666666666,1.041392685158225,12.0
47,0,0,tontos,5,0.75,0.47712125471966244,12.0
48,0,0,Cría,0,,,
48,0,0,cuervos,1,0.6666666666666666,0.30102999566398114,12.0
48,0,0,y,2,0.75,0.47712125471966244,12.0
48,0,0,te,3,0.8333333333333334,0.698970004336019,12.0
48,0,0,sacarán,4,0.5833333333333334,0.14612803567823807,12.0
48,0,0,los,5,0.8333333333333334,0.698970004336019,12.0
48,0,0,ojos,6,1.0,1.3617278360175933,12.0
49,0,0,No,0,,,
49,0,0,hay,1,0.08333333333333333,-1.041392685158225,12.0
49,0,0,que,2,0.25,-0.4771212547196625,12.0
49,0,0,pedirle,3,0.0,-1.3617278360175928,12.0
49,0,0,peras,4,0.8333333333333334,0.698970004336019,12.0
49,0,0,al,5,0.8333333333333334,0.698970004336019,12.0
49,0,0,Olmo,6,1.0,1.3617278360175933,12.0
50,1,1,Aquiles,0,,,
50,1,1,luchó,1,0.0,-1.3617278360175928,12.0
50,1,1,en,2,0.16666666666666666,-0.6989700043360189,12.0
50,1,1,la,3,0.25,-0.4771212547196625,12.0
50,1,1,Guerra,4,0.6666666666666666,0.30102999566398114,12.0
50,1,1,de,5,0.4166666666666667,-0.14612803567823793,12.0
50,1,1,Troya,6,0.08333333333333333,-1.041392685158225,12.0
51,1,1,En,0,,,
51,1,1,Alaska,1,0.0,-1.3617278360175928,12.0
51,1,1,las,2,0.0,-1.3617278360175928,12.0
51,1,1,temperaturas,3,0.0,-1.3617278360175928,12.0
51,1,1,son,4,0.9166666666666666,1.041392685158225,12.0
51,1,1,muy,5,0.75,0.47712125471966244,12.0
51,1,1,bajas,6,0.75,0.47712125471966244,12.0
52,1,0,Todos,0,,,
52,1,0,los,1,0.25,-0.4771212547196625,12.0
52,1,0,caminos,2,0.0,-1.3617278360175928,12.0
52,1,0,conducen,3,1.0,1.3617278360175933,12.0
52,1,0,a,4,0.75,0.47712125471966244,12.0
52,1,0,Roma,5,1.0,1.3617278360175933,12.0
53,1,1,En,0,,,
53,1,1,Alemania,1,0.0,-1.3617278360175928,12.0
53,1,1,tiraron,2,0.0,-1.3617278360175928,12.0
53,1,1,el,3,0.08333333333333333,-1.041392685158225,12.0
53,1,1,muro,4,0.4166666666666667,-0.14612803567823793,12.0
53,1,1,de,5,0.75,0.47712125471966244,12.0
53,1,1,Berlín,6,0.8333333333333334,0.698970004336019,12.0
54,1,1,Alemania,0,,,
54,1,1,perdió,1,0.0,-1.3617278360175928,12.0
54,1,1,la,2,0.6666666666666666,0.30102999566398114,12.0
54,1,1,segunda,3,0.16666666666666666,-0.6989700043360189,12.0
54,1,1,guerra,4,1.0,1.3617278360175933,12.0
54,1,1,mundial,5,0.8333333333333334,0.698970004336019,12.0
55,1,1,A,0,,,
55,1,1,las,1,0.0,-1.3617278360175928,12.0
55,1,1,hojas,2,0.0,-1.3617278360175928,12.0
55,1,1,las,3,0.16666666666666666,-0.6989700043360189,12.0
55,1,1,amontona,4,0.0,-1.3617278360175928,12.0
55,1,1,el,5,1.0,1.3617278360175933,12.0
55,1,1,viento,6,1.0,1.3617278360175933,12.0
56,1,0,Hay,0,,,
56,1,0,que,1,0.0,-1.3617278360175928,12.0
56,1,0,pensar,2,0.08333333333333333,-1.041392685158225,12.0
56,1,0,antes,3,0.25,-0.4771212547196625,12.0
56,1,0,de,4,0.9166666666666666,1.041392685158225,12.0
56,1,0,hablar,5,0.5833333333333334,0.14612803567823807,12.0
57,1,1,El,0,,,
57,1,1,hombre,1,0.08333333333333333,-1.041392685158225,12.0
57,1,1,es,2,0.16666666666666666,-0.6989700043360189,12.0
57,1,1,un,3,0.5833333333333334,0.14612803567823807,12.0
57,1,1,animal,4,0.3333333333333333,-0.30102999566398125,12.0
57,1,1,racional,5,0.16666666666666666,-0.6989700043360189,12.0
58,1,1,El,0,,,
58,1,1,perro,1,0.08333333333333333,-1.041392685158225,12.0
58,1,1,enterró,2,0.0,-1.3617278360175928,12.0
58,1,1,un,3,0.5,0.0,12.0
58,1,1,hueso,4,1.0,1.3617278360175933,12.0
58,1,1,en,5,0.8333333333333334,0.698970004336019,12.0
58,1,1,el,6,0.75,0.47712125471966244,12.0
58,1,1,patio,7,0.25,-0.4771212547196625,12.0
59,1,1,DArtagnan,0,,,
59,1,1,era,1,0.25,-0.4771212547196625,12.0
59,1,1,amigo,2,0.0,-1.3617278360175928,12.0
59,1,1,de,3,1.0,1.3617278360175933,12.0
59,1,1,los,4,0.6666666666666666,0.30102999566398114,12.0
59,1,1,tres,5,0.08333333333333333,-1.041392685158225,12.0
59,1,1,mosqueteros',6,0.8333333333333334,0.698970004336019,12.0
60,1,1,No,0,,,
60,1,1,hagas,1,0.0,-1.3617278360175928,12.0
60,1,1,promesas,2,0.0,-1.3617278360175928,12.0
60,1,1,que,3,1.0,1.3617278360175933,12.0
60,1,1,no,4,1.0,1.3617278360175933,12.0
60,1,1,puedas,5,0.5833333333333334,0.14612803567823807,12.0
60,1,1,cumplir,6,1.0,1.3617278360175933,12.0
61,1,1,Ante,0,,,
61,1,1,la,1,0.4166666666666667,-0.14612803567823793,12.0
61,1,1,duda,2,0.16666666666666666,-0.6989700043360189,12.0
61,1,1,consulte,3,0.0,-1.3617278360175928,12.0
61,1,1,a,4,0.3333333333333333,-0.30102999566398125,12.0
61,1,1,su,5,0.25,-0.4771212547196625,12.0
61,1,1,médico,6,0.5833333333333334,0.14612803567823807,12.0
62,1,0,Caminante,0,,,
62,1,0,no,1,0.9166666666666666,1.041392685158225,12.0
62,1,0,hay,2,0.9166666666666666,1.041392685158225,12.0
62,1,0,camino,3,0.9166666666666666,1.041392685158225,12.0
62,1,0,se,4,0.9166666666666666,1.041392685158225,12.0
62,1,0,hace,5,1.0,1.3617278360175933,12.0
62,1,0,camino,6,0.9166666666666666,1.041392685158225,12.0
62,1,0,al,7,0.75,0.47712125471966244,12.0
62,1,0,andar,8,1.0,1.3617278360175933,12.0
63,1,1,San,0,,,
63,1,1,Martín,1,0.08333333333333333,-1.041392685158225,12.0
63,1,1,cruzó,2,0.5,0.0,12.0
63,1,1,los,3,0.75,0.47712125471966244,12.0
63,1,1,Andes,4,1.0,1.3617278360175933,12.0
63,1,1,a,5,0.3333333333333333,-0.30102999566398125,12.0
63,1,1,caballo,6,0.8333333333333334,0.698970004336019,12.0
64,1,1,A,0,,,
64,1,1,Rómulo,1,0.0,-1.3617278360175928,12.0
64,1,1,y,2,0.5,0.0,12.0
64,1,1,a,3,0.0,-1.3617278360175928,12.0
64,1,1,Remo,4,0.9166666666666666,1.041392685158225,12.0
64,1,1,los,5,0.8333333333333334,0.698970004336019,12.0
64,1,1,alimentó,6,0.4166666666666667,-0.14612803567823793,12.0
64,1,1,una,7,0.9166666666666666,1.041392685158225,12.0
64,1,1,loba,8,0.9166666666666666,1.041392685158225,12.0
65,1,1,Ser,0,,,
65,1,1,o,1,0.25,-0.4771212547196625,12.0
65,1,1,no,2,0.9166666666666666,1.041392685158225,12.0
65,1,1,ser,3,1.0,1.3617278360175933,12.0
65,1,1,ésa,4,0.5833333333333334,0.14612803567823807,12.0
65,1,1,es,5,0.8333333333333334,0.698970004336019,12.0
65,1,1,la,6,0.9166666666666666,1.041392685158225,12.0
65,1,1,cuestión,7,0.8333333333333334,0.698970004336019,12.0
66,1,1,El,0,,,
66,1,1,que,1,0.08333333333333333,-1.041392685158225,12.0
66,1,1,esté,2,0.0,-1.3617278360175928,12.0
66,1,1,libre,3,0.4166666666666667,-0.14612803567823793,12.0
66,1,1,de,4,0.9166666666666666,1.041392685158225,12.0
66,1,1,pecado,5,0.3333333333333333,-0.30102999566398125,12.0
66,1,1,que,6,1.0,1.3617278360175933,12.0
66,1,1,tire,7,0.6666666666666666,0.30102999566398114,12.0
66,1,1,la,8,0.9166666666666666,1.041392685158225,12.0
66,1,1,primer,9,0.08333333333333333,-1.041392685158225,12.0
