id_orac,id_orac_online,tipo_orac_x,palabra_x,palNum,pred_x,logit_pred_x,nCompletadas_x,tipo_orac_y,tipo_orac_new,palabra_y,pred_y,logit_pred_y,nCompletadas_y
79,65.0,1,"ser,",3,1.0,1.77767403074471,18,1,1,ser,1.0,1.3617278360175933,12.0
79,65.0,1,ésa,4,0.7222222222222221,0.477755722513718,18,1,1,ésa,0.5833333333333334,0.14612803567823807,12.0
79,65.0,1,es,5,1.0,1.77767403074471,18,1,1,es,0.8333333333333334,0.698970004336019,12.0
79,65.0,1,la,6,1.0,1.77767403074471,18,1,1,la,0.9166666666666666,1.041392685158225,12.0
79,65.0,1,cuestión.,7,0.8888888888888891,1.03972077083992,18,1,1,cuestión,0.8333333333333334,0.698970004336019,12.0
82,66.0,1,El,0,0.0,-1.77767403074471,18,1,1,El,,,
82,66.0,1,que,1,0.666666666666667,0.346573590279973,18,1,1,que,0.08333333333333333,-1.041392685158225,12.0
82,66.0,1,esté,2,0.0,-1.77767403074471,18,1,1,esté,0.0,-1.3617278360175928,12.0
82,66.0,1,libre,3,0.277777777777778,-0.477755722513718,18,1,1,libre,0.4166666666666667,-0.14612803567823793,12.0
82,66.0,1,de,4,0.833333333333333,0.8047189562170501,18,1,1,de,0.9166666666666666,1.041392685158225,12.0
82,66.0,1,pecado,5,0.5,0.0,18,1,1,pecado,0.3333333333333333,-0.30102999566398125,12.0
82,66.0,1,que,6,0.8888888888888891,1.03972077083992,18,1,1,que,1.0,1.3617278360175933,12.0
82,66.0,1,tire,7,0.555555555555556,0.111571775657105,18,1,1,tire,0.6666666666666666,0.30102999566398114,12.0
82,66.0,1,la,8,1.0,1.77767403074471,18,1,1,la,0.9166666666666666,1.041392685158225,12.0
82,66.0,1,primer,9,0.222222222222222,-0.6263814842476839,18,1,1,primer,0.08333333333333333,-1.041392685158225,12.0
82,66.0,1,piedra.,10,0.944444444444444,1.41660667202811,18,1,1,piedra,1.0,1.3617278360175933,12.0
83,30.0,0,No,0,0.0555555555555556,-1.41660667202811,18,0,0,No,,,
83,30.0,0,está,1,0.0,-1.77767403074471,18,0,0,está,0.08333333333333333,-1.041392685158225,12.0
83,30.0,0,muerto,2,0.222222222222222,-0.6263814842476839,18,0,0,muerto,0.16666666666666666,-0.6989700043360189,12.0
83,30.0,0,quien,3,0.8888888888888891,1.03972077083992,18,0,0,quien,0.9166666666666666,1.041392685158225,12.0
83,30.0,0,pelea.,4,0.666666666666667,0.346573590279973,18,0,0,pelea,1.0,1.3617278360175933,12.0
84,105.0,2,La,0,0.111111111111111,-1.03972077083992,18,2,1,La,,,
84,105.0,2,discusión,1,0.0,-1.77767403074471,18,2,1,discusión,0.0,-1.3617278360175928,12.0
84,105.0,2,de,2,0.277777777777778,-0.477755722513718,18,2,1,de,0.08333333333333333,-1.041392685158225,12.0
84,105.0,2,ayer,3,0.222222222222222,-0.6263814842476839,18,2,1,ayer,0.0,-1.3617278360175928,12.0
84,105.0,2,era,4,0.0,-1.77767403074471,18,2,1,era,0.08333333333333333,-1.041392685158225,12.0
84,105.0,2,inevitable.,5,0.0,-1.77767403074471,18,2,1,inevitable,0.0,-1.3617278360175928,12.0
85,31.0,0,Agua,0,0.0,-1.77767403074471,18,0,0,Agua,,,
85,31.0,0,que,1,0.833333333333333,0.8047189562170501,18,0,0,que,0.8333333333333334,0.698970004336019,12.0
85,31.0,0,no,2,0.6111111111111109,0.225992561871529,18,0,0,no,1.0,1.3617278360175933,12.0
85,31.0,0,has,3,0.5,0.0,18,0,0,has,0.8333333333333334,0.698970004336019,12.0
85,31.0,0,de,4,0.8888888888888891,1.03972077083992,18,0,0,de,1.0,1.3617278360175933,12.0
85,31.0,0,beber,5,0.833333333333333,0.8047189562170501,18,0,0,beber,0.9166666666666666,1.041392685158225,12.0
85,31.0,0,déjala,6,0.7222222222222221,0.477755722513718,18,0,0,déjala,0.9166666666666666,1.041392685158225,12.0
85,31.0,0,correr.,7,0.833333333333333,0.8047189562170501,18,0,0,correr,1.0,1.3617278360175933,12.0
86,67.0,1,El,0,0.111111111111111,-1.03972077083992,18,1,1,El,,,
86,67.0,1,mate,1,0.0,-1.77767403074471,18,1,1,mate,0.0,-1.3222192947339193,11.0
86,67.0,1,es,2,0.6111111111111109,0.225992561871529,18,1,1,es,0.7272727272727273,0.4259687322722812,11.0
86,67.0,1,originario,3,0.0555555555555556,-1.41660667202811,18,1,1,originario,0.0,-1.3222192947339193,11.0
86,67.0,1,de,4,1.0,1.77767403074471,18,1,1,de,1.0,1.3222192947339195,11.0
86,67.0,1,la,5,0.0555555555555556,-1.41660667202811,18,1,1,la,0.18181818181818185,-0.6532125137753436,11.0
86,67.0,1,Argentina.,6,0.33333333333333304,-0.346573590279973,18,1,1,Argentina,0.2727272727272727,-0.4259687322722812,11.0
87,106.0,2,Daniel,0,0.0,-1.77767403074471,18,2,1,Daniel,,,
87,106.0,2,preparó,1,0.0,-1.77767403074471,18,2,1,preparó,0.0,-1.3617278360175928,12.0
87,106.0,2,café,2,0.0,-1.77767403074471,18,2,1,café,0.0,-1.3617278360175928,12.0
87,106.0,2,para,3,0.6111111111111109,0.225992561871529,18,2,1,para,0.4166666666666667,-0.14612803567823793,12.0
87,106.0,2,sus,4,0.38888888888888895,-0.225992561871529,18,2,1,sus,0.16666666666666666,-0.6989700043360189,12.0
87,106.0,2,amigos.,5,0.7222222222222221,0.477755722513718,18,2,1,amigos,0.8333333333333334,0.698970004336019,12.0
88,32.0,0,Haz,0,0.0,-1.77767403074471,18,0,0,Haz,,,
88,32.0,0,lo,1,0.222222222222222,-0.6263814842476839,18,0,0,lo,0.2307692307692308,-0.5228787452803375,13.0
88,32.0,0,que,2,0.666666666666667,0.346573590279973,18,0,0,que,0.6923076923076923,0.3521825181113625,13.0
88,32.0,0,yo,3,0.166666666666667,-0.8047189562170501,18,0,0,yo,0.07692307692307693,-1.0791812460476249,13.0
