id_orac,id_orac_online,tipo_orac,palabra,palNum,pred,logit_pred,nCompletadas
27,92,2,estudiar,5,0.33333333333333304,-0.346573590279973,18
27,92,2,en,6,0.7222222222222221,0.47775572251371795,18
27,92,2,la,7,0.444444444444444,-0.111571775657105,18
27,92,2,universidad.,8,0.8888888888888891,1.03972077083992,18
28,15,0,A,0,0.0,-1.7776740307447099,18
28,15,0,palabras,1,0.0,-1.7776740307447099,18
28,15,0,"necias,",2,0.7777777777777779,0.6263814842476839,18
28,15,0,oídos,3,1.0,1.7776740307447099,18
28,15,0,sordos.,4,1.0,1.7776740307447099,18
29,,0,A,0,0.166666666666667,-0.8047189562170501,18
29,,0,las,1,0.0555555555555556,-1.41660667202811,18
29,,0,palabras,2,0.222222222222222,-0.6263814842476839,18
29,,0,se,3,0.5,0.0,18
29,,0,las,4,0.8888888888888891,1.03972077083992,18
29,,0,lleva,5,0.7777777777777779,0.6263814842476839,18
29,,0,el,6,0.7777777777777779,0.6263814842476839,18
29,,0,viento.,7,1.0,1.7776740307447099,18
30,93,2,Gustavo,0,0.0,-1.7776740307447099,18
30,93,2,encontró,1,0.0,-1.7776740307447099,18
30,93,2,una,2,0.5,0.0,18
30,93,2,billetera,3,0.166666666666667,-0.8047189562170501,18
30,93,2,tirada,4,0.111111111111111,-1.03972077083992,18
30,93,2,en,5,1.0,1.7776740307447099,18
30,93,2,el,6,0.166666666666667,-0.8047189562170501,18
30,93,2,bar.,7,0.0,-1.7776740307447099,18
31,16,0,Ojos,0,0.0,-1.7776740307447099,18
31,16,0,que,1,0.944444444444444,1.41660667202811,18
31,16,0,no,2,1.0,1.7776740307447099,18
31,16,0,ven,3,0.944444444444444,1.41660667202811,18
31,16,0,corazón,4,0.944444444444444,1.41660667202811,18
31,16,0,que,5,1.0,1.7776740307447099,18
31,16,0,no,6,0.944444444444444,1.41660667202811,18
31,16,0,siente.,7,1.0,1.7776740307447099,18
32,94,2,Luis,0,0.0,-1.7776740307447099,18
32,94,2,miró,1,0.0,-1.7776740307447099,18
32,94,2,todo,2,0.0,-1.7776740307447099,18
